Unnamed: 0,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
219,New Zealand Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3.0,0,34,0,11.33,5,3,1,1,0,T20I # 1850
220,New Zealand Vs Sri Lanka,New Zealand,Tim Southee,4.0,1,12,1,3.0,18,0,1,1,0,T20I # 1850
221,New Zealand Vs Sri Lanka,New Zealand,Trent Boult,4.0,0,13,4,3.25,18,1,0,1,0,T20I # 1850
222,New Zealand Vs Sri Lanka,New Zealand,Lockie Ferguson,4.0,0,35,1,8.75,11,4,1,3,0,T20I # 1850
223,New Zealand Vs Sri Lanka,New Zealand,Mitchell Santner,4.0,0,21,2,5.25,13,3,0,0,0,T20I # 1850
224,New Zealand Vs Sri Lanka,New Zealand,Ish Sodhi,3.2,0,21,2,6.3,11,2,1,1,0,T20I # 1850
225,Zimbabwe Vs Pakistan,Pakistan,Shaheen Shah Afridi,4.0,0,29,0,7.25,9,3,0,0,0,T20I # 1849
226,Zimbabwe Vs Pakistan,Pakistan,Naseem Shah,4.0,0,34,0,8.5,7,4,0,2,0,T20I # 1849
227,Zimbabwe Vs Pakistan,Pakistan,Mohammad Wasim,4.0,0,24,4,6.0,16,2,1,4,0,T20I # 1849
228,Zimbabwe Vs Pakistan,Pakistan,Haris Rauf,4.0,1,12,1,3.0,15,0,0,0,0,T20I # 1849
229,Zimbabwe Vs Pakistan,Pakistan,Shadab Khan,4.0,0,23,3,5.75,8,1,0,0,0,T20I # 1849
230,Zimbabwe Vs Pakistan,Zimbabwe,Richard Ngarava,4.0,0,24,0,6.0,15,2,1,2,0,T20I # 1849
231,Zimbabwe Vs Pakistan,Zimbabwe,Blessing Muzarabani,4.0,0,18,1,4.5,11,1,0,0,0,T20I # 1849
232,Zimbabwe Vs Pakistan,Zimbabwe,Brad Evans,4.0,0,25,2,6.25,12,2,1,0,0,T20I # 1849
233,Zimbabwe Vs Pakistan,Zimbabwe,Sikandar Raza,4.0,0,25,3,6.25,13,2,1,2,0,T20I # 1849
